Year;CSIRO Adjusted Sea Level;Lower Error Bound;Upper Error Bound;NOAA Adjusted Sea Level;
1880;0;-0.952755905;0.952755905;;
1881;0.220472441;-0.732283464;1.173.228.345;;
1882;-0.440944881;-1.346.456.692;0.464566929;;
1883;-0.232283464;-1.129.921.259;0.66535433;;
1884;0.590551181;-0.283464567;1.464.566.928;;
1885;0.531496062;-0.330708661;1.393.700.786;;
1886;0.437007874;-0.381889763;1.255.905.511;;
1887;0.216535433;-0.602362204;103.543.307;;
1888;0.299212598;-0.519685039;1.118.110.235;;
1889;0.362204724;-0.456692913;1.181.102.361;;
1890;0.440944881;-0.374015748;1.255.905.511;;
1891;0.374015748;-0.440944881;1.188.976.377;;
1892;0.499999999;-0.31496063;1.314.960.629;;
1893;0.685039369;-0.114173228;1.484.251.967;;
1894;0.303149606;-0.547244094;1.153.543.306;;
1895;0.767716535;-0.082677165;1.618.110.235;;
1896;0.468503937;-0.366141732;1.303.149.605;;
1897;0.673228346;-0.145669291;1.492.125.983;;
1898;1.043.307.086;0.267716535;1.818.897.636;;
1899;1.338.582.676;0.574803149;2.102.362.203;;
1900;1.125.984.251;0.405511811;1.846.456.691;;
1901;1.110.236.219;0.417322834;1.803.149.604;;
1902;1.291.338.581;0.61023622;1.972.440.943;;
1903;1.606.299.211;0.937007873;2.275.590.549;;
1904;12.007.874;0.53543307;186.614.173;;
1905;0.984251968;0.377952756;1.590.551.179;;
1906;1.251.968.503;0.673228346;183.070.866;;
1907;1.196.850.392;0.61023622;1.783.464.565;;
1908;1.098.425.196;0.527559055;1.669.291.337;;
1909;127.559.055;0.700787401;1.850.393.699;;
1910;1.271.653.542;0.696850393;1.846.456.691;;
1911;1.598.425.195;1.039.370.078;2.157.480.313;;
1912;1.476.377.951;0.917322834;2.035.433.069;;
1913;1.547.244.093;0.992125983;2.102.362.203;;
1914;1.795.275.589;1.251.968.503;2.338.582.675;;
1915;210.629.921;157.086.614;2.641.732.281;;
1916;2.031.496.061;1.519.685.038;2.543.307.084;;
1917;1.854.330.707;1.350.393.699;2.358.267.714;;
1918;1.791.338.581;1.291.338.581;229.133.858;;
1919;1.854.330.707;1.354.330.707;2.354.330.706;;
1920;1.905.511.809;1.393.700.786;2.417.322.832;;
1921;1.988.188.974;1.472.440.943;2.503.937.005;;
1922;1.952.755.904;1.433.070.865;2.472.440.942;;
1923;1.999.999.998;1.488.188.975;2.511.811.021;;
1924;1.712.598.423;1.196.850.392;2.228.346.454;;
1925;1.791.338.581;1.255.905.511;2.326.771.651;;
1926;2.047.244.092;1.507.874.014;2.586.614.171;;
1927;2.003.937.006;1.496.062.991;2.511.811.021;;
1928;1.850.393.699;1.366.141.731;2.334.645.667;;
1929;1.905.511.809;1.429.133.857;2.381.889.761;;
1930;2.062.992.124;1.590.551.179;2.535.433.068;;
1931;2.047.244.092;1.566.929.132;2.527.559.053;;
